state_ansi,county_ansi,year,colonies
30,35,2002,1880
30,47,2002,5265
30,53,2002,201
30,63,2002,4223
30,65,2002,3
30,81,2002,2940
30,89,2002,543
30,93,2002,25
30,95,2002,8696
30,97,2002,2594
30,111,2002,4010
31,0,2002,39922
31,27,2002,3272
31,41,2002,481
31,93,2002,2830
31,107,2002,1404
31,109,2002,631
31,139,2002,3841
31,149,2002,1670
31,155,2002,546
31,185,2002,89
32,0,2002,678
32,1,2002,48
32,7,2002,15
32,19,2002,74
32,21,2002,15
32,23,2002,83
32,31,2002,296
33,0,2002,1902
33,5,2002,288
33,7,2002,14
33,9,2002,5
33,11,2002,412
33,15,2002,251
33,17,2002,75
33,19,2002,142
34,0,2002,11527
34,1,2002,1860
34,3,2002,114
34,5,2002,345
34,7,2002,31
34,9,2002,15
34,11,2002,317
34,13,2002,45
34,19,2002,1208
34,21,2002,366
34,27,2002,148
34,29,2002,690
34,37,2002,375
34,39,2002,150
34,41,2002,157
35,0,2002,10367
35,1,2002,54
35,5,2002,53
35,31,2002,212
35,35,2002,19
35,39,2002,51
35,49,2002,170
35,55,2002,13
35,59,2002,12
35,61,2002,30
36,0,2002,45850
36,1,2002,114
36,3,2002,970
36,7,2002,53
36,9,2002,2723
36,11,2002,3797
36,13,2002,699
36,15,2002,244
36,17,2002,49
36,19,2002,582
36,21,2002,63
36,25,2002,178
36,27,2002,20
36,29,2002,176
36,31,2002,61
36,33,2002,766
36,37,2002,2600
36,39,2002,1197
36,45,2002,4428
36,49,2002,303
36,51,2002,38
36,53,2002,2203
36,65,2002,1605
36,67,2002,2259
36,69,2002,29
36,71,2002,272
36,75,2002,111
36,77,2002,528
36,83,2002,104
36,87,2002,28
36,89,2002,1395
36,91,2002,646
36,93,2002,21
36,97,2002,63
36,99,2002,441
36,101,2002,1312
36,103,2002,186
36,105,2002,62
36,107,2002,1883
36,109,2002,128
36,111,2002,512
36,115,2002,2675
36,117,2002,1702
36,119,2002,41
36,121,2002,179
36,123,2002,74
37,0,2002,15478
37,1,2002,149
37,3,2002,214
37,5,2002,271
37,7,2002,3
37,9,2002,132
37,11,2002,29
37,17,2002,8
37,19,2002,162
37,21,2002,516
37,23,2002,170
37,25,2002,37
37,27,2002,505
37,33,2002,23
37,35,2002,180
37,37,2002,31
37,39,2002,65
37,43,2002,4
37,45,2002,593
37,51,2002,14
37,57,2002,115
37,59,2002,155
37,61,2002,122
37,63,2002,7
37,67,2002,173
37,71,2002,161
37,75,2002,44
37,77,2002,22
37,81,2002,71
37,85,2002,32
37,87,2002,23
37,89,2002,221
37,97,2002,317
37,101,2002,3
37,103,2002,3
37,105,2002,36
37,107,2002,45
37,109,2002,113
37,111,2002,423
37,113,2002,412
37,115,2002,83
37,119,2002,14
37,121,2002,48
37,123,2002,8
37,125,2002,280
37,127,2002,19
37,129,2002,120
37,131,2002,5
37,135,2002,172
37,137,2002,59
37,147,2002,12
37,149,2002,38
37,151,2002,144
37,153,2002,29
37,157,2002,60
37,159,2002,228
37,161,2002,259
37,163,2002,3710
37,167,2002,94
37,169,2002,146
37,171,2002,837
37,175,2002,99
37,179,2002,271
37,183,2002,114
37,189,2002,114
37,193,2002,144
37,195,2002,5
37,197,2002,133
37,199,2002,42
38,0,2002,160946
38,1,2002,10172
38,17,2002,15042
38,31,2002,13068
38,35,2002,3480
38,37,2002,3840
38,41,2002,6900
38,43,2002,2800
38,55,2002,9824
38,59,2002,15170
38,63,2002,4500
38,77,2002,3778
38,89,2002,8232
38,91,2002,1530
38,93,2002,1560
39,0,2002,24605
39,1,2002,101
39,3,2002,1293
39,5,2002,177
39,7,2002,109
39,9,2002,87
39,11,2002,538
39,13,2002,18
39,15,2002,39
39,17,2002,132
39,19,2002,37
39,21,2002,285
39,23,2002,83
39,25,2002,29
39,27,2002,54
39,29,2002,316
39,31,2002,272
39,33,2002,20
39,35,2002,212
39,37,2002,1708
39,39,2002,288
39,41,2002,758
39,45,2002,166
39,47,2002,195
39,49,2002,692
39,51,2002,121
39,53,2002,496
39,55,2002,382
39,57,2002,334
39,59,2002,184
39,61,2002,208
39,65,2002,170
39,71,2002,50
39,73,2002,58
39,75,2002,332
39,77,2002,178
39,81,2002,144
39,83,2002,270
39,85,2002,182
39,87,2002,23
39,89,2002,231
39,91,2002,492
39,93,2002,329
39,95,2002,155
39,97,2002,18
39,99,2002,62
39,103,2002,394
39,105,2002,10
39,107,2002,63
39,109,2002,291
39,111,2002,5
39,113,2002,25
39,117,2002,69
39,119,2002,148
39,123,2002,665
39,125,2002,2104
39,127,2002,7
39,129,2002,11
39,131,2002,82
39,133,2002,1215
39,135,2002,56
39,137,2002,335
39,139,2002,70
39,141,2002,19
39,143,2002,544
39,145,2002,102
39,147,2002,209
39,149,2002,246
39,151,2002,946
39,153,2002,149
39,155,2002,94
39,157,2002,49
39,159,2002,339
39,161,2002,670
39,163,2002,15
39,165,2002,215
39,167,2002,264
39,169,2002,335
39,175,2002,45
40,0,2002,6275
40,1,2002,24
40,5,2002,91
40,13,2002,4
40,17,2002,22
40,21,2002,18
40,23,2002,25
40,27,2002,2209
